CanonicalFamily,Alias,Components
Conducting the lesson - Wednesday,,C101;C102;C103;C104;C105;C106;C107;C108;C109;C110;C111;C12;C15;C17;C24;C29;C30;C32;C35;C37;C4;C44;C49;C50;C52;C55;C57;C64;C69;C70;C72;C75;C77;C84;C89;C9;C90;C92;C95;C97
Assisting the lesson - Tuesday,,C11;C16;C23;C28;C3;C31;C36;C43;C48;C51;C56;C63;C68;C71;C76;C8;C83;C88;C91;C96
Preparation for the Lesson / Assistant - Tuesday,,C11;C123;C131;C136;C144;C149;C157;C16;C162;C170;C175;C183;C23;C28;C3;C31;C36;C43;C48;C51;C56;C63;C68;C71;C76;C8;C83;C88;C91;C96
Registrations / Beginners - Tuesday,,C1;C11;C130;C143;C156;C16;C169;C182;C21;C23;C28;C3;C31;C36;C41;C43;C48;C51;C56;C61;C63;C68;C71;C76;C8;C81;C83;C88;C91;C96
Planning of the Month / Teachers and Assistants,,C112
Planning of the Month / Registrations,,C113
Planning of the Month / Master of Cerimony,,C114
Planning of the Month / Food Supply,,C115
Monthly Monitoring,,C116
Monthly Report,,C117
Monthly Payments,,C119
CRM Manteince,,C121
Project Management,,C122
Registrations / Intermediate - Wednesday,,C128;C129;C141;C142;C154;C155;C167;C168;C180;C181
Monthly Print,,C118
Deistalling the Venue + Cleaning - Tuesday,,C13;C25;C33;C45;C5;C53;C65;C73;C85;C93
Master of Cerimony - Tuesday,,C13;C25;C33;C45;C5;C53;C65;C73;C85;C93
Social Media Posts - Tuesday,,C126;C134;C139;C147;C152;C160;C165;C173;C178;C186
Food Supply - Sunday,,C100;C14;C20;C26;C34;C40;C46;C54;C6;C60;C66;C74;C80;C86;C94
Installing the Venue - Tuesday,,C14;C26;C34;C46;C54;C6;C66;C74;C86;C94
Photographer / Videomaker - Tuesday,,C127;C135;C140;C148;C153;C161;C166;C174;C179;C187
DJ - Tuesday,,C125;C133;C138;C146;C151;C159;C164;C172;C177;C185
Deinstalling the Venue + Cleaning - Sunday,,C19;C39;C59;C79;C99
Registrations / Sunday 23:00 - 00:30,,C19;C39;C59;C79;C99
Master of Cerimony - Sunday,,C100;C20;C40;C60;C80
Registrations / Advanced - Tuesday,,C1;C21;C41;C61;C81
Installing the Venue - Sunday,,C18;C38;C58;C78;C98
Registrations / Sunday 21:30 - 23:00,,C18;C38;C58;C78;C98
Take Care of Partyka Students - Tuesday,,C124;C132;C137;C145;C150;C158;C163;C171;C176;C184
Take Care of Team Members,,C120
